Best after 1999 steps

   > Averages:
   > Pre: 0.24230979897344046 Fit: 0.05122997929966961 Act: 14.603525362298376 Tss: 1430.5852713178294 Num: 516 Size: 468
     - .00#0100#.#0#0#00#.1##0##00-N : [Fi: 0,07] [Ex: 00002,0] [Pr: 0,14] [PE: 0,05] [AS: 010,5] [Ti: 01536] [Nu: 001] [Pa: 001]
     - .#00#00#0.###0####.#0#0#00#-S : [Fi: 0,07] [Ex: 00028,0] [Pr: 0,01] [PE: 0,01] [AS: 017,8] [Ti: 01765] [Nu: 001] [Pa: 001]
     - .00000000.###00###.###010#0-N : [Fi: 0,07] [Ex: 00009,0] [Pr: 0,18] [PE: 0,15] [AS: 026,9] [Ti: 01951] [Nu: 001] [Pa: 001]
     - .00#0000#.####1###.0#00#00#-S : [Fi: 0,07] [Ex: 00006,0] [Pr: 0,45] [PE: 0,25] [AS: 006,8] [Ti: 01850] [Nu: 001] [Pa: 001]
     - .0##00000.1##0#0##.#####00#-W : [Fi: 0,07] [Ex: 00039,0] [Pr: 0,18] [PE: 0,18] [AS: 022,1] [Ti: 01991] [Nu: 001] [Pa: 001]
     - .##10000#.0##0#000.110000##-N : [Fi: 0,07] [Ex: 00001,0] [Pr: 0,11] [PE: 0,00] [AS: 006,0] [Ti: 01505] [Nu: 001] [Pa: 001]
     - .001000#0.00#00###.###0###0-N : [Fi: 0,07] [Ex: 00015,0] [Pr: 0,69] [PE: 0,30] [AS: 006,5] [Ti: 01943] [Nu: 002] [Pa: 001]
     - .10#00000.0#00#000.#1#0000#-W : [Fi: 0,07] [Ex: 00003,0] [Pr: 0,42] [PE: 0,24] [AS: 002,3] [Ti: 00528] [Nu: 002] [Pa: 001]
     - .0##0#000.#0#01#00.100000#0-W : [Fi: 0,07] [Ex: 00010,0] [Pr: 0,30] [PE: 0,28] [AS: 013,6] [Ti: 01973] [Nu: 001] [Pa: 001]
     - .100#00##.000#1###.1000000#-E : [Fi: 0,07] [Ex: 00006,0] [Pr: 0,55] [PE: 0,23] [AS: 004,0] [Ti: 01196] [Nu: 002] [Pa: 001]
     - .00000000.00####00.0###00##-S : [Fi: 0,07] [Ex: 00006,0] [Pr: 0,00] [PE: 0,00] [AS: 011,0] [Ti: 01632] [Nu: 001] [Pa: 001]
     - .0#10#0#0.##0###1#.0#0#001#-N : [Fi: 0,07] [Ex: 00001,0] [Pr: 0,36] [PE: 0,00] [AS: 013,0] [Ti: 01726] [Nu: 001] [Pa: 001]
     - .0#0##0#0.0##000#0.####0#00-W : [Fi: 0,06] [Ex: 00015,0] [Pr: 0,17] [PE: 0,15] [AS: 020,7] [Ti: 01962] [Nu: 001] [Pa: 001]
     - .1#0000#0.###010#0.0##000##-N : [Fi: 0,06] [Ex: 00006,0] [Pr: 0,83] [PE: 0,15] [AS: 009,5] [Ti: 01898] [Nu: 001] [Pa: 001]
     - .0#1##00#.1##0#0##.#00##00#-S : [Fi: 0,06] [Ex: 00017,0] [Pr: 0,71] [PE: 0,27] [AS: 006,7] [Ti: 01812] [Nu: 001] [Pa: 001]
     - .00000000.0##000#0.#00###00-W : [Fi: 0,06] [Ex: 00012,0] [Pr: 0,17] [PE: 0,21] [AS: 027,2] [Ti: 01925] [Nu: 001] [Pa: 001]
     - .000#10##.1#0#10#0.000##0##-N : [Fi: 0,06] [Ex: 00002,0] [Pr: 0,72] [PE: 0,14] [AS: 005,0] [Ti: 01694] [Nu: 001] [Pa: 001]
     - .0##0000#.####1#1#.#00#11#0-N : [Fi: 0,06] [Ex: 00003,0] [Pr: 0,16] [PE: 0,11] [AS: 004,0] [Ti: 01138] [Nu: 001] [Pa: 001]
     - .000#00#0.001#0010.0#10#000-N : [Fi: 0,06] [Ex: 00005,0] [Pr: 0,33] [PE: 0,25] [AS: 006,2] [Ti: 01105] [Nu: 001] [Pa: 001]
     - .00000000.0000#00#.1#00###0-W : [Fi: 0,06] [Ex: 00005,0] [Pr: 0,02] [PE: 0,02] [AS: 027,2] [Ti: 01926] [Nu: 001] [Pa: 001]
     - .00000000.11#0#0#0.00000###-N : [Fi: 0,06] [Ex: 00006,0] [Pr: 0,07] [PE: 0,07] [AS: 018,8] [Ti: 01763] [Nu: 001] [Pa: 001]
     - .00100000.#0#0##1#.###0###0-N : [Fi: 0,06] [Ex: 00013,0] [Pr: 0,53] [PE: 0,32] [AS: 007,8] [Ti: 01874] [Nu: 001] [Pa: 001]
     - .#0#00#00.#####000.#000#0##-W : [Fi: 0,06] [Ex: 00003,0] [Pr: 0,23] [PE: 0,19] [AS: 029,7] [Ti: 01973] [Nu: 001] [Pa: 001]
     - .0#00#01#.0##000#0.#0####00-W : [Fi: 0,06] [Ex: 00006,0] [Pr: 0,70] [PE: 0,25] [AS: 004,7] [Ti: 01963] [Nu: 001] [Pa: 001]
     - .##100#0#.##00##0#.00###000-N : [Fi: 0,06] [Ex: 00001,0] [Pr: 1,00] [PE: 0,00] [AS: 009,0] [Ti: 01943] [Nu: 001] [Pa: 001]
     - .00000000.#1#0####.###0##00-N : [Fi: 0,06] [Ex: 00018,0] [Pr: 0,04] [PE: 0,04] [AS: 022,0] [Ti: 01844] [Nu: 002] [Pa: 001]
     - .00#00000.00###0#0.###0000#-E : [Fi: 0,06] [Ex: 00020,0] [Pr: 0,06] [PE: 0,10] [AS: 028,7] [Ti: 01778] [Nu: 001] [Pa: 001]
     - .00000#0#.111#0000.000#1000-W : [Fi: 0,06] [Ex: 00002,0] [Pr: 0,38] [PE: 0,19] [AS: 010,5] [Ti: 01951] [Nu: 001] [Pa: 001]
     - .#0000000.101100#0.1000000#-N : [Fi: 0,06] [Ex: 00001,0] [Pr: 0,00] [PE: 0,00] [AS: 001,0] [Ti: 00016] [Nu: 001] [Pa: 001]
     - .0###0###.##110#1#.1##000#0-S : [Fi: 0,06] [Ex: 00001,0] [Pr: 0,00] [PE: 0,00] [AS: 001,0] [Ti: 00016] [Nu: 001] [Pa: 001]
     - .#0001#0#.#1#00000.0##00010-S : [Fi: 0,06] [Ex: 00001,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 00073] [Nu: 001] [Pa: 001]
     - .#0000000.#0##1110.0#0000#1-N : [Fi: 0,06] [Ex: 00001,0] [Pr: 0,39] [PE: 0,00] [AS: 001,0] [Ti: 00089] [Nu: 001] [Pa: 001]
     - .0000#000.110#0#11.0#001100-N : [Fi: 0,06] [Ex: 00001,0] [Pr: 0,77] [PE: 0,00] [AS: 001,0] [Ti: 00093] [Nu: 001] [Pa: 001]
